ID,Activity Type ID,Activity Type,Started,Finished,Updated,Subject
1144470,2806,1 (FACING camera) Sit and stand,2024/09/05 18:17,2024/09/05 18:17,2024/09/05 18:17,U22
1144471,2806,1 (FACING camera) Sit and stand,2024/09/05 18:17,2024/09/05 18:17,2024/09/05 18:17,U22
1144472,2806,1 (FACING camera) Sit and stand,2024/09/05 18:17,2024/09/05 18:17,2024/09/05 18:17,U22
1144473,2806,1 (FACING camera) Sit and stand,2024/09/05 18:17,2024/09/05 18:18,2024/09/05 18:18,U22
1144474,2806,1 (FACING camera) Sit and stand,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144475,2806,1 (FACING camera) Sit and stand,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144476,2807,2 (FACING camera) both hands SHAKING (sitting position),2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144477,2807,2 (FACING camera) both hands SHAKING (sitting position),2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144478,2807,2 (FACING camera) both hands SHAKING (sitting position),2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144479,2808,3 Stand up from chair - both hands with SHAKING,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144480,2808,3 Stand up from chair - both hands with SHAKING,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144481,2808,3 Stand up from chair - both hands with SHAKING,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144482,2809,4 (Sideway) Sit & stand,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144483,2809,4 (Sideway) Sit & stand,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144484,2809,4 (Sideway) Sit & stand,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144485,2810,5 (Sideway) both hands SHAKING (sitting),2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144486,2810,5 (Sideway) both hands SHAKING (sitting),2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144487,2810,5 (Sideway) both hands SHAKING (sitting),2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144488,2811,6 (Sideway) STAND up with - both hands SHAKING,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144489,2811,6 (Sideway) STAND up with - both hands SHAKING,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144490,2811,6 (Sideway) STAND up with - both hands SHAKING,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144491,2812,7 Cool down - sitting/relax,2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144492,2813,8 Walk (LEFT --> Right --> Left),2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144493,2813,8 Walk (LEFT --> Right --> Left),2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144494,2813,8 Walk (LEFT --> Right --> Left),2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144496,2814,"9 Walk & STOP/frozen, full body shaking, rotate then return back",2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144497,2814,"9 Walk & STOP/frozen, full body shaking, rotate then return back",2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144498,2814,"9 Walk & STOP/frozen, full body shaking, rotate then return back",2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144499,2815,"10 Slow walk (SHAKING hands/body, tiny step, head forward)",2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144500,2815,"10 Slow walk (SHAKING hands/body, tiny step, head forward)",2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
1144501,2815,"10 Slow walk (SHAKING hands/body, tiny step, head forward)",2024/09/05 18:18,2024/09/05 18:18,2024/09/05 18:18,U22
