ID,Activity Type ID,Activity Type,Started,Finished,Updated,Subject
1144503,2806,1 (FACING camera) Sit and stand,2024/09/05 18:19,2024/09/05 18:19,2024/09/05 18:19,U3
1144504,2806,1 (FACING camera) Sit and stand,2024/09/05 18:19,2024/09/05 18:19,2024/09/05 18:19,U3
1144505,2806,1 (FACING camera) Sit and stand,2024/09/05 18:19,2024/09/05 18:19,2024/09/05 18:19,U3
1144506,2807,2 (FACING camera) both hands SHAKING (sitting position),,,2024/09/05 18:19,U3
1144507,2807,2 (FACING camera) both hands SHAKING (sitting position),,,2024/09/05 18:19,U3
1144508,2807,2 (FACING camera) both hands SHAKING (sitting position),,,2024/09/05 18:19,U3
1144509,2808,3 Stand up from chair - both hands with SHAKING,,,2024/09/05 18:19,U3
1144510,2808,3 Stand up from chair - both hands with SHAKING,,,2024/09/05 18:19,U3
1144511,2808,3 Stand up from chair - both hands with SHAKING,,,2024/09/05 18:19,U3
1144512,2809,4 (Sideway) Sit & stand,,,2024/09/05 18:19,U3
1144514,2809,4 (Sideway) Sit & stand,,,2024/09/05 18:19,U3
1144518,2809,4 (Sideway) Sit & stand,,,2024/09/05 18:19,U3
