ID,Activity Type ID,Activity Type,Started,Finished,Updated,Subject
1137178,2809,4 (Sideway) Sit & stand,2024/09/03 21:07,2024/09/03 21:07,2024/09/03 21:07,U5
1137179,2810,5 (Sideway) both hands SHAKING (sitting),2024/09/03 21:07,2024/09/03 21:07,2024/09/03 21:07,U5
1137180,2810,5 (Sideway) both hands SHAKING (sitting),2024/09/03 21:07,2024/09/03 21:07,2024/09/03 21:07,U5
1137181,2810,5 (Sideway) both hands SHAKING (sitting),2024/09/03 21:07,2024/09/03 21:08,2024/09/03 21:08,U5
1137182,2811,6 (Sideway) STAND up with - both hands SHAKING,2024/09/03 21:08,2024/09/03 21:08,2024/09/03 21:08,U5
1137183,2811,6 (Sideway) STAND up with - both hands SHAKING,2024/09/03 21:08,2024/09/03 21:09,2024/09/03 21:09,U5
1137184,2811,6 (Sideway) STAND up with - both hands SHAKING,2024/09/03 21:09,2024/09/03 21:09,2024/09/03 21:09,U5
1137185,2812,7 Cool down - sitting/relax,2024/09/03 21:09,2024/09/03 21:09,2024/09/03 21:09,U5
1137186,2813,8 Walk (LEFT --> Right --> Left),2024/09/03 21:09,2024/09/03 21:10,2024/09/03 21:10,U5
1137187,2813,8 Walk (LEFT --> Right --> Left),2024/09/03 21:10,2024/09/03 21:10,2024/09/03 21:10,U5
1137188,2813,8 Walk (LEFT --> Right --> Left),2024/09/03 21:10,2024/09/03 21:10,2024/09/03 21:10,U5
