ID,Activity Type ID,Activity Type,Started,Finished,Updated,Subject
1144326,2806,1 (FACING camera) Sit and stand,2024/09/05 17:33,2024/09/05 17:33,2024/09/05 17:33,U3
1144327,2806,1 (FACING camera) Sit and stand,2024/09/05 17:33,2024/09/05 17:33,2024/09/05 17:33,U3
1144328,2807,2 (FACING camera) both hands SHAKING (sitting position),2024/09/05 17:33,2024/09/05 17:33,2024/09/05 17:33,U3
1144329,2807,2 (FACING camera) both hands SHAKING (sitting position),2024/09/05 17:33,2024/09/05 17:33,2024/09/05 17:33,U3
1144330,2807,2 (FACING camera) both hands SHAKING (sitting position),2024/09/05 17:33,2024/09/05 17:33,2024/09/05 17:33,U3
1144331,2808,3 Stand up from chair - both hands with SHAKING,2024/09/05 17:33,2024/09/05 17:33,2024/09/05 17:33,U3
1144332,2808,3 Stand up from chair - both hands with SHAKING,2024/09/05 17:33,2024/09/05 17:33,2024/09/05 17:33,U3
1144333,2808,3 Stand up from chair - both hands with SHAKING,2024/09/05 17:33,2024/09/05 17:33,2024/09/05 17:33,U3
1144334,2809,4 (Sideway) Sit & stand,2024/09/05 17:33,2024/09/05 17:33,2024/09/05 17:33,U3
1144335,2809,4 (Sideway) Sit & stand,2024/09/05 17:33,2024/09/05 17:33,2024/09/05 17:33,U3
1144336,2809,4 (Sideway) Sit & stand,2024/09/05 17:33,2024/09/05 17:33,2024/09/05 17:33,U3
1144337,2810,5 (Sideway) both hands SHAKING (sitting),2024/09/05 17:33,2024/09/05 17:34,2024/09/05 17:34,U3
1144338,2810,5 (Sideway) both hands SHAKING (sitting),2024/09/05 17:34,2024/09/05 17:34,2024/09/05 17:34,U3
1144339,2810,5 (Sideway) both hands SHAKING (sitting),2024/09/05 17:34,2024/09/05 17:34,2024/09/05 17:34,U3
1144340,2811,6 (Sideway) STAND up with - both hands SHAKING,2024/09/05 17:34,2024/09/05 17:34,2024/09/05 17:34,U3
1144341,2811,6 (Sideway) STAND up with - both hands SHAKING,2024/09/05 17:34,2024/09/05 17:34,2024/09/05 17:34,U3
1144342,2811,6 (Sideway) STAND up with - both hands SHAKING,2024/09/05 17:34,2024/09/05 17:34,2024/09/05 17:34,U3
1144343,2812,7 Cool down - sitting/relax,2024/09/05 17:34,2024/09/05 17:34,2024/09/05 17:34,U3
